"","Name","Size","Sector","Country","Country Status","Region","Date Added","Title","Publication Year","Type","Report Pdf Address","Report Html Address","Adherence Level","Status","Application Level","Sector Supplements (Final)","GRI Content Index URL","Integrated","Organization type","Listed/Non-listed","OECD","UNGC","CDP","IFC","ISO","External Assurance","Type of Assurance Provider","Assurance Provider","Stakeholder Panel/ Expert Opinion","Assurance Scope","Level of Assurance","Assurance Standard: AA1000 AS","Assurance Stanadard: ISAE3000","Assurance Standard: national (general)","Assurance Standard: national (sustainability)","Materiality Matters Check","GRI Service","Featured Report?","OS","GOLD Community","SDGs"
"163","Auckland International Airport Limited","Large","Aviation","New Zealand","OECD","Oceania","20-12-2011","Annual Review 2011",2011,"Non - GRI","http://www.aucklandairport.co.nz/report/downloads/auckland-airport-annual-report-2011.pdf",NA,NA,NA,NA,NA,"Not applicable","Yes","Private company","Listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Cargolux Airlines International","Large","Aviation","Luxembourg","OECD","Europe","24-6-2014","Annual Report 2010",2011,"GRI - G3","http://www.paperjam.lu/sites/default/files/fichiers_contenus/rapports_annuels/2011/ar_2010_-_cargolux.pdf",NA,NA,"Self-declared","C","Not Applicable",NA,"No","Private company","Non-listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Cathay Pacific Airways","Large","Aviation","Hong Kong","Non-OECD / Non-DAC","Asia","10-1-2012","Sustainable Development Report 2010",2011,"GRI - G3","http://downloads.cathaypacific.com/cx/press/SDreport_en2010.pdf",NA,NA,"GRI-checked","A+","Not Applicable",NA,"No","Private company","Listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","China Aerospace Science and Technology Corporation","Large","Aviation","Mainland China","DAC-UMICT","Asia","24-8-2011","Social Responsibility Report 2010",2011,"GRI - G3","http://www.sustainabilityreport.cn/ReportShow.asp?ReportId=2334","http://www.sustainabilityreport.cn/ReportShow.asp?ReportId=2334",NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Non-listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","China Eastern Airlines","Large","Aviation","Mainland China","DAC-UMICT","Asia","6-6-2011","Social Responsibility Report 2010",2011,"GRI - G3",NA,"http://www.sustainabilityreport.cn/ReportShow.asp?ReportId=2120",NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","China National Aviation Corporation (CNAC) - China","Large","Aviation","Mainland China","DAC-UMICT","Asia","2-2-2012","Social Responsibility Report 2003-2010",2011,"Citing-GRI",NA,"http://www.sustainabilityreport.cn/ReportShow.asp?ReportId=2545",NA,NA,NA,NA,NA,"No","State-owned company","Non-listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","China Southern Airlines","Large","Aviation","Mainland China","DAC-UMICT","Asia","8-5-2011","Social Responsibility Report 2010",2011,"GRI - G3",NA,NA,NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Christchurch International Airport","Large","Aviation","New Zealand","OECD","Oceania","20-12-2011","Annual report 2011",2011,"GRI - G3","http://www.christchurchairport.co.nz/content/2719/CIAL%20Annual%20Report%202011.pdf",NA,NA,NA,"Undeclared","Not Applicable","http://www.christchurchairport.co.nz/content/2719/CIAL%20Annual%20Report%202011.pdf","Yes","State-owned company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Comair","Large","Aviation","South Africa","DAC-UMICT","Africa","21-2-2014","Integrated Annual Report 2011",2011,"GRI - G3.1","http://www.comair.co.za/Media/Comair/files/2011/AnnualReport.pdf",NA,NA,"Self-declared","C","Not Applicable",NA,"Yes","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Delta Air Lines","Large","Aviation","United States of America","OECD","Northern America","22-2-2012","2010 Corporate Responsibility Report",2011,"Citing-GRI","http://news.delta.com/file.php/1091/Delta-2010-CRR.pdf",NA,NA,NA,NA,NA,NA,"No","Private company","Listed","No","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Embraer","MNE","Aviation","Brazil","DAC-UMICT","Latin America & the Caribbean","30-1-2011","Annual Report 2010",2011,"GRI - G3","http://www1.embraer.com.br/hotsites/rao_2010/eng/download/PDFs/ra_00.pdf","http://www1.embraer.com.br/hotsites/rao_2010/eng/ra/index.htm",NA,"Self-declared","B","Not Applicable",NA,"Yes","Private company","Listed","No","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Etihad Airways","Large","Aviation","United Arab Emirates","Non-OECD / Non-DAC","Asia","12-6-2014","Corporate Social Responsibility Report 2010",2011,"GRI - G3","http://www.etihad.com/Documents/PDFs/Corporate%20profile/Corporate%20reports%20and%20CSR/csr-2010.pdf",NA,NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","FAI rent a-jet","SME","Aviation","Germany","OECD","Europe","8-9-2015","Chairman´s Report to Stakeholder 2011",2011,"Non - GRI",NA,"https://www.unglobalcompact.org/system/attachments/16149/original/Global_Compact_COP_2011.pdf?1340810997",NA,NA,NA,NA,NA,NA,"Private company","Non-listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Finnair","Large","Aviation","Finland","OECD","Europe","8-3-2012","Corporate Responsibility Report 2010",2011,"GRI - G3","http://www.finnairgroup.com/linked/en/konserni/Finnair_Corporate_Responsibility_Report_2010.pdf",NA,NA,"Third-party-checked","A","Not Used",NA,"No","State-owned company","Listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Fraport AG","Large","Aviation","Germany","OECD","Europe","29-5-2011","Nachhaltigkeitsbericht 2010",2011,"GRI - G3","http://www.fraport.de/cms/nachhaltigkeit/dokbin/449/449545.nachhaltigkeitsbericht_2010.pdf",NA,NA,"GRI-checked","A","Not Applicable",NA,"No","Private company","Listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","HAESL (Hong Kong Aero Engines Services Limited)","Large","Aviation","Hong Kong","Non-OECD / Non-DAC","Asia","24-5-2011","HAESL Sustainable Development Report 2010",2011,"GRI - G3","http://www.haesl.com/pdf/SDreportOnlineversion.pdf",NA,NA,"GRI-checked","B+","Not Applicable",NA,"No","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","HNA Group","Large","Aviation","Mainland China","DAC-UMICT","Asia","10-9-2015","CSR 2010",2011,"GRI - G3",NA,"https://www.unglobalcompact.org/system/attachments/11418/original/_2010_.pdf?1311734685",NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Non-listed","No","Yes","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Hong Kong Aircraft Engineering Company (HAECO)","Large","Aviation","Hong Kong","Non-OECD / Non-DAC","Asia","29-10-2013","Sustainable Development Report 2010",2011,"GRI - G3","http://www.haeco.com/about_haeco/HX%20SD%2010%20report%20final.pdf",NA,NA,"Third-party-checked","C+","Not Used",NA,"No","Private company","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Hong Kong Airport Services (HAS)","Large","Aviation","Hong Kong","Non-OECD / Non-DAC","Asia","15-4-2012","Sustainable Development Report 2010",2011,"GRI - G3","http://www.hannstar.com/Hannstar_2010CSR_en.pdf",NA,NA,"Self-declared","B","Not Used",NA,"No","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","IBERIA AIRLINES OF SPAIN","Large","Aviation","Spain","OECD","Europe","14-6-2011","Corporate Responsibility Report",2011,"GRI - G3","http://grupo.iberia.es/corporativa/InformeAnual/en/projet/multimedia/Iberia.Ingles.pdf","http://grupo.iberia.es/corporativa/InformeAnual/index.html",NA,"Third-party-checked","A+","Not Applicable",NA,"Yes","Private company","Non-listed","No","Yes","Yes","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Incheon Airport IIAC","Large","Aviation","Korea, Republic of","OECD","Asia","10-2-2012","Social Responsibility Report 2011",2011,"GRI - G3.1","http://www.bisd.or.kr/data/bisdDb/444-2.pdf","http://www.airport.kr/iiacms/pageWork.iia?_scode=C0506030703",NA,"GRI-checked","A","Not Applicable",NA,"No","State-owned company","Non-listed","No","Yes","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Internationale Luchthaven Oostende-Brugge","SME","Aviation","Belgium","OECD","Europe","8-1-2012","Duurzaamheids- en jaarverslag 2010",2011,"GRI - G3","http://www.ost.aero/engels/documents/SustainabilityandAnnualReport2010_OstendAirport.pdf",NA,NA,"GRI-checked","B","Not Applicable",NA,"Yes","State-owned company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","ITP (Industria de Turbo Propulsores)","Large","Aviation","Spain","OECD","Europe","11-10-2012","Sustainability Report 2010",2011,"GRI - G3","http://www.itp.es/web/Sec_DC/wf_documentoslst.aspx?idReg=9&idMenu=13&idSubMenu=18&tipoMenu=MS","http://www.itp.es/web/Sec_DC/wf_documentoslst.aspx?idReg=9&idMenu=13&idSubMenu=18&tipoMenu=MS",NA,"Self-declared","B","Not Applicable",NA,"Yes","Private company","Non-listed","Yes","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","KAC (Korea Airports Corporation)","Large","Aviation","Korea, Republic of","OECD","Asia","29-1-2012","Sustainability Report 2011",2011,"GRI - G3",NA,"http://www.airport.co.kr/upload/download.jsp?name=1313469368609_Sustainablity_Report_English(2011).pdf&saveFolderName=AnnualReportEng&uploadedFileCode=131346929931211",NA,"GRI-checked","A+","Not Used",NA,"No","State-owned company","Non-listed","No","Yes","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Korean Air","Large","Aviation","Korea, Republic of","OECD","Asia","6-4-2012","2011 Sustainability Report",2011,"GRI - G3",NA,"http://kr.koreanair.com/kalmain/intro/general/environment/06.aspx",NA,"Self-declared","A","Not Applicable",NA,"No","Private company","Listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","LATAM Airlines Group","MNE","Aviation","Chile","DAC-UMICT","Latin America & the Caribbean","24-8-2011","Reporte de Sostenibilidad 2010",2011,"GRI - G3","http://www.lan.com/files/sostenibilidad/reporte_sostenibilidad_2010.pdf",NA,NA,"Self-declared","B","Not Applicable",NA,"No","Private company","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Lufthansa Group","MNE","Aviation","Germany","OECD","Europe","14-2-2017","Nachhaltigkeitsbericht Balance 2011",2011,"Non - GRI","https://www.lufthansagroup.com/fileadmin/downloads/de/LH-Nachhaltigkeitsbericht-2011.pdf","https://www.lufthansagroup.com/service/downloads.html",NA,NA,NA,NA,NA,NA,"Private company","Listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Malaysia Airports","MNE","Aviation","Malaysia","DAC-UMICT","Asia","10-10-2014","Sustainability Report 2010 - The Romance of Aviation",2011,"GRI - G3","http://www.malaysiaairports.com.my/sustainability/The_Romance_Of_Aviation.pdf",NA,NA,"Self-declared","B","Airport Operators",NA,"No","Private company","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Manchester Airport Group (MAG)","Large","Aviation","United Kingdom of Great Britain and Northern Ireland","OECD","Europe","23-1-2012","2010 Sustainability Report",2011,"GRI - G3","http://www.manchesterairport.co.uk/manweb.nsf/alldocs/9817A5A0EB2DBDFE802578E7005CA285/$File/SustainabilityReport.pdf",NA,NA,"GRI-checked","B","Not Used",NA,"No","Public institution","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Munich Airport","Large","Aviation","Germany","OECD","Europe","23-11-2011","Sustainability and Annual Report 2010",2011,"GRI - G3","http://www.munich-airport.de/media/download/general/publikationen/en/ib2010_en.pdf","http://www.munich-airport.de/en/company/",NA,"GRI-checked","A+","Not Used",NA,"Yes","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","OMA - Grupo Aeroportuario del Centro Norte","Large","Aviation","Mexico","DAC-UMICT","Latin America & the Caribbean","16-1-2012","Reporte de sustentabilidad 2010",2011,"GRI - G3","http://www.oma.aero/assets/012/6369.pdf",NA,NA,"Third-party-checked","C+","Not Applicable",NA,"Yes","Private company","Listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","SAAB Group - Defence and Security","MNE","Aviation","Sweden","OECD","Europe","20-12-2011","SAAB Årsredovisning 2010 (incl Hållbarhetsinformation)",2011,"Non - GRI","http://www.saabgroup.com/Global/Documents%20and%20Images/About%20Saab/Investor%20relations/Financial%20reports/Saab_ENG_2010_final.pdf",NA,NA,NA,NA,NA,NA,"No","Private company","Listed","Yes","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","SAS Group AB (Sweden)","Large","Aviation","Sweden","OECD","Europe","28-3-2012","SAS Group Sustainability report 2010",2011,"GRI - G3","http://www.sasgroup.net/SASGROUP_SUSTAINABILITY/CMSForeignContent/SAS_eng_2010.pdf",NA,NA,"Third-party-checked","A+","Not Applicable",NA,"No","Private company","Listed","No","Yes","Yes","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Schiphol Group","Large","Aviation","Netherlands","OECD","Europe","7-4-2011","Jaarverslag 2010",2011,"GRI - G3","http://www.annualreportschiphol.com/downloads/Schiphol_Annual_Report_2010.pdf","http://www.schiphol.nl/SchipholGroup1/InvestorRelations/FinancieleInformatie/Jaarverslagen.htm",NA,"Third-party-checked","B+","Not Applicable",NA,"Yes","State-owned company","Non-listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","SEA Milano","Large","Aviation","Italy","OECD","Europe","1-12-2014","Bilancio di Sostenibilità 2010",2011,"GRI - G3.1","http://www.seamilano.eu/sites/sea14.message-asp.com/files/docs/bilancio_di_sostenibilita_2010_hr.pdf",NA,NA,"GRI-checked","C+","Not Used",NA,"No","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Southwest Airlines","Large","Aviation","United States of America","OECD","Northern America","23-7-2014","2010 Southwest Airlines One ReportTM",2011,"GRI - G3","http://www.southwestonereport.com/2010/_pdfs/2010SouthwestAirlinesOneReport.pdf","http://www.southwestonereport.com/2010/",NA,"Third-party-checked","B+","Not Applicable","http://www.southwestonereport.com/2010/global_reporting_ii.php","No","Private company","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Swedavia","Large","Aviation","Sweden","OECD","Europe","20-12-2011","Swedavia Årsredovisning 2010 (incl Hållbarhetsredovisning)",2011,"GRI - G3","http://www.swedavia.se/upload/swedavia/Bolagsstyrning/Swedavias%20%c3%a5rsredovisning%202010.pdf",NA,NA,"Third-party-checked","C+","Not Applicable",NA,"No","State-owned company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","TAM","Large","Aviation","Brazil","DAC-UMICT","Latin America & the Caribbean","17-10-2011","Relatorio de Sustentabilidade TAM 2010",2011,"GRI - G3",NA,"http://tam.riweb.com.br/Tam/download.aspx?id=220355",NA,"Self-declared","C","Not Applicable",NA,"No","Private company","Listed","No","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","TAP Group","MNE","Aviation","Portugal","OECD","Europe","23-9-2015","Corporate Governance and Sustainability Report 2010",2011,"GRI - G3","http://new.flytap.com/prjdir/flytap/mediaRep/editors/Contentimages/INSTITUTIONAL/PDF/TAP/Relatorios/sust/2010/TAP_CGSR_2010.pdf","http://www.tapportugal.com/Info/en/about-tap/tap-group/annual-reports",NA,NA,"Undeclared","Not Applicable",NA,"No","Private company","Non-listed","No","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","TAV","Large","Aviation","Turkey","DAC-UMICT","Asia","27-11-2011","TAV Airports Holding's 2010 Sustainability Report",2011,"GRI - G3.1","http://www.tavhavalimanlari.com.tr/en-EN/Documents/TAV_SRA_2010.pdf","http://www.tavhavalimanlari.com.tr/en-EN/Pages/Sustainability.aspx",NA,"GRI-checked","C","Airport Operators",NA,"No","Private company","Listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","The Emirates Group","MNE","Aviation","United Arab Emirates","Non-OECD / Non-DAC","Asia","11-4-2012","Environmental Report 2010-2011",2011,"Citing-GRI","http://www.emirates.com/english/images/The%20Emirates%20Group%20Environment%20Report_tcm233-701728.pdf","http://www.emirates.com/ae/english/environment/environment.aspx",NA,NA,NA,NA,NA,"No","Subsidiary","Listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Toronto Pearson - GTAA","Large","Aviation","Canada","OECD","Northern America","18-12-2011","2010 Corporate Responsibility Report",2011,"GRI - G3","http://torontopearson.com/uploadedFiles/GTAA/Content/Publications/Social_Responsibility/GTAA%20CR%20Online.pdf","http://torontopearson.com/en/gtaa/corporate-social-responsibility/",NA,"GRI-checked","A","Not Used",NA,"No","Non-profit organization","Non-listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Transat","Large","Aviation","Canada","OECD","Northern America","16-3-2015","CSR Report 2010",2011,"Non - GRI","http://www.resp.transat.com/_pdf/en/corporate.responsibility.report.2010.pdf",NA,NA,NA,NA,NA,NA,NA,"Private company","Listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Virgin Australia","Large","Aviation","Australia","OECD","Oceania","11-1-2012","Annual Report 2011",2011,"GRI - G3","http://www.virginaustralia.com/cs/groups/internetcontent/documents/webcontent/~edisp/u_004296.pdf",NA,NA,NA,"Undeclared","Not Applicable",NA,"Yes","Subsidiary","Listed","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Warsaw Chopin Airport","Large","Aviation","Poland","OECD","Europe","7-7-2014","Lotnisko Chopina w Warszawie 2011 Raport Odpowiedzialny Biznes/ Warsaw Chopin Airport 2011 Responsible Business Report",2011,"GRI - G3.1","http://www.odpowiedzialnelotnisko.pl/files/raport2011.pdf","http://www.odpowiedzialnelotnisko.pl/index.php?pid=12",NA,"Self-declared","B","Airport Operators",NA,"No","Private company","Non-listed","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","AENA","Large","Aviation","Spain","OECD","Europe","13-12-2012","Memoria de Responsabilidad Corporativa 2011",2012,"GRI - G3","http://www.aena.es/csee/ccurl/291/681/Report 2011 Corporate Responsibility.pdf","http://www.aena.es/csee/Satellite/Aena/en/Page/1237547416579/",NA,"GRI-checked","B+","Not Used",NA,"No","Private company","Non-listed","No","No","No","No","No","Yes","Small consultancy/ boutique firm","AENOR","No","Entire sustainability report","Not specified","No","No","No","No",NA,NA,NA,NA,NA,NA
"209","Aeroporto di Bologna","Large","Aviation","Italy","OECD","Europe","1-12-2014","Bilancio di sostenibilitá 2011",2012,"GRI - G3.1","http://www.bologna-airport.it/System/978795/Bilancio%20di%20Sostenibilit%C3%A0%202011.pdf",NA,NA,"Self-declared","C","Airport Operators",NA,"No","State-owned company","Non-listed","No","No","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"210","Aeroports de Paris (ADP)","Large","Aviation","France","OECD","Europe","26-3-2013","CSR Report 2011",2012,"GRI - G3.1","http://www.aeroportsdeparis.fr/ADP/Resources/9e1a2f9e-c99a-4522-bff6-515458b63de3-RA_EVT_RSE_2011_GB.pdf",NA,NA,"Third-party-checked","B","Not Used",NA,"No","Private company","Listed","No","Yes","No","No","Yes","No",NA,NA,"Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"211","Aeropuertos Argentina 2000","Large","Aviation","Argentina","DAC-UMICT","Latin America & the Caribbean","17-1-2013","Reporte de Sustentabilidad 2011 - 2010",2012,"GRI - G3.1","http://www.aa2000.com.ar/images/ReportesSustentabilidad/Archivos/REPORTE-RSE-AA2000-2010-2011.pdf",NA,NA,"Self-declared","C","Not Used",NA,"No","Private company","Non-listed","No","Yes","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"212","Air Canada","Large","Aviation","Canada","OECD","Northern America","16-9-2013","2011 Corporate Sustainability Report",2012,"Citing-GRI","http://www.aircanada.com/en/about/documents/csr_2011_report_en.pdf",NA,NA,NA,NA,NA,NA,"No","Private company","Listed","No","No","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"213","Air China","Large","Aviation","Hong Kong","Non-OECD / Non-DAC","Asia","14-6-2012","Social Responsibility Report 2011",2012,"GRI - G3.1","http://www.airchina.com.cn/en/images/en/investor_relations/csr/2013/11/27/012EEFF4ACA84E26C830A3B923132C00.pdf",NA,NA,NA,"Undeclared","Not Applicable",NA,"No","State-owned company","Listed","No","No","No","No","No","Yes","Engineering firm","Bureau Veritas","No","Entire sustainability report","Not specified","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA
"214","Air France-KLM","Large","Aviation","France","OECD","Europe","5-7-2012","Air France-KLM CSR report 2011-12",2012,"GRI - G3.1","http://asp.zone-secure.net/v2/2272/2921/25601/CSR-Report-AFKLM.pdf","http://asp.zone-secure.net/v2/index.jsp?id=2272/2921/25601&lng=en",NA,"GRI-checked","A","Not Applicable",NA,"No","Private company","Listed",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Airbus","Large","Aviation","France","OECD","Europe","18-8-2015","2011 CORPORATE RESPONSIBILITY",2012,"GRI - G3","https://www.unglobalcompact.org/system/attachments/16111/original/EADS_CRSR_2011_final.pdf","https://www.unglobalcompact.org/system/attachments/16111/original/EADS_CRSR_2011_final.pdf?1340697300",NA,"Third-party-checked","B+","Not Applicable",NA,"No","Private company","Listed","No","Yes","No","No","No","Yes","Accountant","Ernst & Young","No","Specified section(s)","Limited/ Moderate","No","Yes","No","No",NA,NA,NA,NA,NA,NA
"216","Airports of Thailand (AOT)","Large","Aviation","Thailand","DAC-UMICT","Asia","23-2-2012","CSR Report 2011",2012,"GRI - G3.1","http://www.airportthai.co.th/_admin/uploadfiles/cp_annual_23_attach_en.pdf","http://www.airportthai.co.th/en/cp_annual.php",NA,"Self-declared","B","Airport Operators",NA,"No","Private company","Listed","No","No","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"217","Alaska Air Group","Large","Aviation","United States of America","OECD","Northern America","11-10-2012","2012 Sustainability Report",2012,"GRI - G3.1","http://www.alaskaair.com/~/media/Files/PDF/CSR/AAG_CSR_2012.pdf","http://www.alaskaair.com/content/about-us/social-responsibility/corporate-sustainability-report.aspx",NA,"Self-declared","B","Not Applicable","http://www.alaskaair.com/~/media/Files/PDF/CSR/AAG_GRI_Contact_2012.pdf","No","Private company","Listed","No","No","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"218","All Nippon Airways Company Limited","Large","Aviation","Japan","OECD","Asia","27-3-2013","Annual Report",2012,"Non - GRI","http://www.ana.co.jp/eng/aboutana/corporate/ir/pdf/annual/12/12_00.pdf","http://www.ana.co.jp/eng/aboutana/corporate/ir/financial_06.html",NA,NA,NA,NA,NA,"Yes","Private company","Listed",NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"219","American Airlines","Large","Aviation","United States of America","OECD","Northern America","26-11-2012","Corporate Responsibility Report 2011",2012,"GRI - G3",NA,"http://www.aa.com/i18n/aboutUs/corporateResponsibility/main.jsp",NA,"Self-declared","B","Not Applicable",NA,"No","Private company","Listed","No","No","Yes","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
"220","ANA","Large","Aviation","Portugal","OECD","Europe","27-3-2013","Relatório de Sustentabilidade 2011",2012,"GRI - G3.1","http://www.ana.pt/SiteCollectionDocuments/Sobre%20a%20ANA/RelatoriosSustentabilidade/sustentabilidade_2011.pdf",NA,NA,"Third-party-checked","A+","Airport Operators",NA,"No","Private company","Non-listed","No","No","No","No","Yes","Yes","Accountant","PricewaterhouseCoopers","No","Specified section(s)","Limited/ Moderate","No","Yes","No","No",NA,NA,NA,NA,NA,NA
"221","Asiana Airlines","Large","Aviation","Korea, Republic of","OECD","Asia","27-3-2013","Sustainability Report 2012",2012,"GRI - G3.1",NA,NA,NA,NA,"Undeclared","Airport Operators",NA,"No","Private company","Listed","Yes","No","No","No","Yes","Yes","Small consultancy/ boutique firm","Other","Yes","Specified section(s)","Reasonable/ High","Yes","No","No","No",NA,NA,NA,NA,NA,NA
"222","ASUR","MNE","Aviation","Mexico","DAC-UMICT","Latin America & the Caribbean","20-8-2012","ANNUAL SUSTAINABILITY REPORT 2011",2012,"GRI - G3","http://www.asur.com.mx/asur/informe2011/En/pdf/Informe_Asur_2011_eng.pdf","http://www.asur.com.mx/asur/informe2011/En/",NA,"Self-declared","B","Not Used",NA,"No","Private company","Listed","No","Yes","No","No","No","No",NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA,NA
